3608
1;3;2296;62;18;3;3
61;3;2224;62;1075;68;3
121;2;2280;50;2209;139;3
181;3;2280;62;3355;210;3
241;3;2248;62;4490;281;3
301;3;2280;62;5596;350;3
361;3;2288;62;6719;419;3
421;3;2240;62;7844;489;3
481;3;2264;62;8995;560;3
541;2;2264;50;10071;627;3
601;3;2272;62;11238;700;3
661;3;2272;62;12357;768;3
721;3;2248;62;13539;841;3
781;3;2272;62;14657;911;3
841;3;2272;62;15781;981;3
901;3;2264;62;16889;1050;3
961;3;2272;62;18081;1124;3
1021;3;2248;62;19173;1192;3
1081;3;2272;62;20328;1264;3
1141;3;2280;62;21498;1337;3
1201;3;2256;62;22651;1409;3
1261;3;2272;62;23729;1475;3
1321;2;2192;63;24871;1516;3
1381;3;2272;62;26038;1580;3
1441;3;2272;62;27199;1652;3
1501;3;2272;62;28289;1719;3
1561;3;2272;62;29428;1790;3
1621;2;2272;50;30578;1862;3
1681;3;2272;62;31717;1932;3
1741;3;2272;62;32858;2003;3
1801;3;2280;62;33999;2073;3
1861;2;2248;50;35091;2141;3
1921;3;2280;62;36252;2214;3
1981;3;2264;62;37379;2284;3
2041;3;2272;62;38532;2356;3
2101;3;2280;62;39667;2427;3
2161;3;2272;62;40796;2497;3
2221;2;2264;50;41907;2567;3
2281;3;2264;62;43039;2638;3
2341;3;2256;62;44198;2710;3
2401;3;2264;62;45343;2782;3
2461;2;2264;50;46466;2852;3
2521;3;2272;62;47594;2922;3
2581;3;2288;62;48737;2993;3
2641;3;2248;62;49882;3064;3
2701;3;2272;62;51045;3136;3
2761;2;2256;50;52166;3205;3
2821;3;2288;62;53323;3277;3
2881;3;2272;62;54452;3348;3
2941;3;2296;62;55570;3417;3
3001;3;2264;62;56695;3487;3
3061;3;2272;62;57813;3557;3
3121;3;2256;62;58944;3627;3
3181;3;2256;62;60044;3696;3
3241;2;2240;50;61171;3767;3
3301;3;2280;62;62311;3839;3
3361;3;2264;62;63446;3909;3
3421;3;2264;62;64611;3982;3
3481;3;2256;62;65721;4052;3
3541;3;2280;62;66874;4124;3
3601;3;2248;62;68005;4194;3
3661;3;2264;62;69162;4267;3
3721;3;2288;62;70297;4338;3
3781;2;2256;50;71394;4406;3
3841;3;2272;62;72529;4475;3
3901;3;2280;62;73661;4546;3
3961;3;2256;62;74790;4616;3
4021;2;2272;50;75919;4687;3
4081;3;2264;62;77087;4760;3
4141;3;2264;62;78246;4833;3
4201;3;2216;75;79418;4875;3
4261;3;2208;75;80545;4915;3
4321;3;2208;75;81647;4955;3
4381;3;2240;75;82773;4996;3
4441;3;2208;75;83884;5035;3
4501;3;2272;62;84992;5097;3
4561;3;2256;62;86119;5166;3
4621;3;2280;62;87271;5238;3
4681;3;2280;62;88381;5307;3
4741;3;2272;62;89549;5379;3
4801;3;2272;62;90631;5446;3
4861;3;2248;62;91786;5491;3
4921;3;2264;62;92907;5560;3
4981;2;2256;50;94012;5629;3
5041;3;2272;62;95141;5699;3
5101;3;2272;62;96276;5770;3
5161;3;2280;62;97350;5835;3
5221;3;2280;62;98463;5905;3
5281;3;2272;62;99551;5972;3
5341;3;2224;75;100666;6012;3
5401;3;2240;75;101839;6054;3
5461;3;2200;75;102935;6093;3
5521;3;2200;75;104076;6134;3
5581;3;2280;62;105195;6201;3
5641;3;2264;62;106341;6273;3
5701;3;2240;62;107434;6340;3
5761;3;2248;62;108598;6412;3
5821;3;2296;62;109727;6483;3
5881;3;2280;62;110870;6544;3
5941;3;2288;62;111968;6612;3
6001;3;2288;62;113148;6686;3
6061;2;2256;50;114276;6755;3
6121;3;2264;62;115362;6821;3
6181;3;2264;62;116507;6892;3
6241;3;2272;62;117627;6963;3
6301;3;2272;62;118788;7035;3
6361;3;2272;62;119926;7105;3
6421;3;2264;62;121051;7175;3
6481;3;2296;62;122161;7244;3
6541;3;2272;62;123292;7314;3
6601;2;2232;50;124448;7387;3
6661;3;2224;62;125617;7460;3
6721;3;2280;62;126713;7528;3
6781;3;2240;62;127852;7599;3
6841;3;2256;62;128973;7668;3
6901;3;2288;62;130087;7738;3
6961;3;2272;62;131187;7808;3
7021;3;2272;62;132277;7875;3
7081;3;2240;62;133436;7948;3
7141;3;2280;62;134569;8002;3
7201;3;2280;62;135724;8075;3
7261;3;2272;62;136826;8143;3
7321;3;2264;62;137932;8211;3
7381;3;2280;62;139041;8280;3
7441;3;2264;62;140174;8351;3
7501;3;2264;62;141330;8424;3
7561;3;2264;62;142489;8496;3
7621;2;2264;50;143645;8567;3
7681;3;2272;62;144739;8635;3
7741;2;2272;50;145874;8706;3
7801;3;2248;62;146992;8775;3
7861;3;2272;62;148170;8848;3
7921;3;2272;62;149271;8916;3
7981;2;2272;50;150397;8986;3
8041;3;2280;62;151516;9056;3
8101;3;2256;62;152669;9129;3
8161;3;2272;62;153827;9201;3
8221;3;2264;62;154927;9269;3
8281;3;2256;62;156090;9342;3
8341;3;2280;62;157184;9409;3
8401;3;2272;62;158305;9478;3
8461;3;2248;62;159432;9549;3
8521;3;2264;62;160547;9619;3
8581;2;2272;50;161652;9688;3
8641;3;2272;62;162803;9760;3
8701;3;2272;62;163910;9829;3
8761;2;2264;50;165066;9902;3
8821;3;2272;62;166188;9972;3
8881;2;2272;50;167310;10041;3
8941;3;2264;62;168457;10112;3
9001;3;2272;62;169592;10183;3
9061;3;2272;62;170691;10251;3
9121;3;2256;62;171797;10320;3
9181;3;2264;62;172873;10387;3
9241;3;2272;62;174041;10460;3
9301;3;2272;62;175197;10532;3
9361;3;2248;62;176309;10602;3
9421;3;2264;62;177484;10676;3
9481;3;2280;62;178611;10746;3
9541;3;2280;62;179728;10816;3
9601;3;2280;62;180845;10870;3
9661;2;2256;50;181993;10941;3
9721;3;2256;62;183117;11011;3
9781;3;2256;62;184252;11082;3
9841;2;2272;50;185378;11152;3
9901;3;2248;62;186519;11223;3
9961;3;2248;62;187705;11293;3
10021;3;2264;62;188775;11359;3
10081;3;2288;62;189888;11427;3
10141;3;2264;62;191035;11498;3
10201;3;2264;62;192192;11570;3
10261;3;2272;62;193289;11638;3
10321;3;2256;62;194440;11710;3
10381;3;2280;62;195599;11782;3
10441;3;2256;62;196756;11854;3
10501;3;2272;62;197830;11921;3
10561;3;2208;75;198950;11961;3
10621;3;2216;75;200063;12001;3
10681;2;2232;63;201184;12041;3
10741;3;2208;75;202353;12083;3
10801;3;2288;62;203508;12145;3
10861;3;2288;62;204607;12213;3
10921;3;2256;62;205758;12285;3
10981;3;2256;62;206927;12358;3
11041;3;2256;62;208062;12429;3
11101;3;2296;62;209162;12497;3
11161;3;2256;62;210321;12568;3
11221;3;2296;62;211434;12637;3
11281;3;2256;62;212560;12707;3
11341;2;2288;50;213675;12776;3
11401;3;2264;62;214833;12849;3
11461;3;2264;62;215921;12916;3
11521;2;2256;50;217050;12986;3
11581;3;2256;62;218189;13057;3
