10720
1;4;3240;74;30;6;4
61;4;3176;74;1438;186;4
121;4;3144;74;2915;368;4
181;4;3168;74;4322;549;4
241;3;4712;62;5783;732;4
301;4;3120;87;7247;852;4
361;4;3128;87;8695;920;4
421;4;3104;87;10255;992;4
481;4;3112;87;11742;1062;4
541;4;3120;87;13210;1130;4
601;4;3096;87;14753;1202;4
661;4;3128;87;16221;1269;4
721;4;3104;87;17709;1337;4
781;4;3104;87;19115;1402;4
841;4;3104;87;20669;1474;4
901;4;3096;87;22179;1546;4
961;4;3104;87;23662;1614;4
1021;4;2944;126;25093;1675;4
1081;4;2944;126;26601;1700;4
1141;4;2944;126;28050;1724;4
1201;3;4624;75;29555;1784;4
1261;4;3152;87;31043;1854;4
1321;4;3120;87;32437;1920;4
1381;4;2960;126;33938;1988;4
1441;4;2960;126;35330;2011;4
1501;4;2968;126;36762;2035;4
1561;4;2952;126;38358;2062;4
1621;4;2952;126;39851;2087;4
1681;4;3112;87;41330;2148;4
1741;4;3096;87;42830;2217;4
1801;4;3088;87;44317;2286;4
1861;4;3088;87;45788;2354;4
1921;4;3080;87;47262;2423;4
1981;4;3104;87;48813;2495;4
2041;4;2944;126;50272;2520;4
2101;3;4512;114;51705;2544;4
2161;4;2984;126;53254;2570;4
2221;4;2952;126;54681;2594;4
2281;4;2960;126;56225;2620;4
2341;3;4512;114;57662;2644;4
2401;4;2968;126;59155;2669;4
2461;4;2944;126;60671;2694;4
2521;4;2984;126;62161;2719;4
2581;3;4528;114;63688;2744;4
2641;4;2968;126;65047;2767;4
2701;4;2944;126;66550;2792;4
2761;4;2984;126;68093;2818;4
2821;3;4504;114;69596;2843;4
2881;4;2952;126;71165;2869;4
2941;4;2920;126;72603;2893;4
3001;3;4512;114;74101;2918;4
3061;4;2960;126;75612;2943;4
3121;3;4536;114;77010;2966;4
3181;4;3096;87;78557;3033;4
3241;4;3104;87;79961;3098;4
3301;4;3096;87;81509;3172;4
3361;4;3144;87;82967;3241;4
3421;4;3112;87;84511;3311;4
3481;4;3096;87;86044;3383;4
3541;4;3104;87;87509;3450;4
3601;4;3112;87;88943;3517;4
3661;4;3144;87;90455;3587;4
3721;4;3104;87;91858;3651;4
3781;3;4648;75;93331;3720;4
3841;4;3136;87;94853;3791;4
3901;4;3128;87;96372;3862;4
3961;4;3112;87;97818;3929;4
4021;4;3104;87;99256;3996;4
4081;4;3104;87;100722;4064;4
4141;4;3104;87;102170;4131;4
4201;4;3120;87;103668;4201;4
4261;2;6200;63;105158;4271;4
4321;3;4656;75;106723;4344;4
4381;4;3104;87;108220;4414;4
4441;4;3112;87;109721;4485;4
4501;3;4656;75;111177;4554;4
4561;4;3128;87;112663;4624;4
4621;3;4648;75;114168;4695;4
4681;4;3104;87;115666;4765;4
4741;3;4624;75;117079;4830;4
4801;3;4648;75;118660;4904;4
4861;4;2952;126;120116;4952;4
4921;3;4488;114;121594;4977;4
4981;3;4488;114;123099;5002;4
5041;4;2976;126;124538;5026;4
5101;4;2944;126;126042;5051;4
5161;4;2944;126;127441;5074;4
5221;4;2968;126;128884;5098;4
5281;4;2952;126;130443;5124;4
5341;3;4496;114;131889;5148;4
5401;4;2952;126;133340;5172;4
5461;4;2944;126;134771;5196;4
5521;4;2936;126;136322;5222;4
5581;4;2952;126;137755;5246;4
5641;4;2952;126;139200;5270;4
5701;4;2944;126;140697;5295;4
5761;4;2960;126;142187;5320;4
5821;4;2960;126;143686;5345;4
5881;4;3120;87;145200;5384;4
5941;4;3104;87;146744;5457;4
6001;4;2960;126;148206;5488;4
6061;3;4496;114;149651;5512;4
6121;4;2960;126;151154;5537;4
6181;4;3104;87;152597;5588;4
6241;4;3104;87;154038;5655;4
6301;4;2960;126;155592;5703;4
6361;3;4504;114;157030;5727;4
6421;4;2960;126;158592;5753;4
6481;3;4512;114;160102;5778;4
6541;4;2976;126;161538;5802;4
6601;4;2968;126;163032;5827;4
6661;4;2976;126;164531;5852;4
6721;4;2968;126;165977;5876;4
6781;4;2968;126;167423;5900;4
6841;4;2960;126;168812;5923;4
6901;4;2960;126;170318;5948;4
6961;4;2960;126;171799;5973;4
7021;4;2952;126;173214;5997;4
7081;4;2976;126;174675;6021;4
7141;4;2944;126;176222;6047;4
7201;3;4488;114;177729;6072;4
7261;4;2944;126;179110;6095;4
7321;4;2944;126;180619;6120;4
7381;4;2952;126;182045;6144;4
7441;4;2944;126;183550;6169;4
7501;4;2944;126;185001;6193;4
7561;4;2944;126;186507;6218;4
7621;4;2960;126;187877;6241;4
7681;4;2968;126;189440;6267;4
7741;4;2936;126;190880;6291;4
7801;4;2936;126;192442;6317;4
7861;4;2928;126;193879;6341;4
7921;4;2992;126;195401;6366;4
7981;4;2976;126;196831;6390;4
8041;4;2968;126;198385;6416;4
8101;4;2952;126;199830;6440;4
8161;4;2952;126;201214;6463;4
8221;4;2944;126;202757;6489;4
8281;3;4496;114;204253;6514;4
8341;4;3120;87;205749;6572;4
8401;4;3152;87;207259;6642;4
