11240
1;4;3760;74;30;6;4
61;4;3632;90;2777;114;4
121;3;5168;78;5470;215;4
181;4;3648;90;8244;321;4
241;4;3616;90;11079;430;4
301;4;3640;90;13838;534;4
361;4;3624;90;16587;640;4
421;2;6696;66;19297;744;4
481;3;5160;78;22078;852;4
541;3;5144;78;24694;947;4
601;3;5176;78;27593;1058;4
661;3;5160;78;30370;1163;4
721;3;5168;78;33193;1271;4
781;3;5152;78;35997;1379;4
841;3;5168;78;38814;1487;4
901;3;5168;78;41602;1592;4
961;4;3624;90;44466;1701;4
1021;2;6704;66;47327;1809;4
1081;4;3616;90;50167;1918;4
1141;3;5152;78;52987;2027;4
1201;3;5160;78;55728;2132;4
1261;3;5160;78;58601;2241;4
1321;3;5144;78;61375;2346;4
1381;3;5160;78;64107;2451;4
1441;4;3624;90;66892;2555;4
1501;3;5168;78;69532;2654;4
1561;3;5176;78;72386;2761;4
1621;4;3616;90;75110;2865;4
1681;4;3600;90;77899;2972;4
1741;3;5192;78;80678;3079;4
1801;2;6728;66;83459;3182;4
1861;3;5168;78;86373;3292;4
1921;3;5160;78;89193;3399;4
1981;3;5160;78;91942;3505;4
2041;3;5152;78;94721;3612;4
2101;3;5168;78;97557;3722;4
2161;3;5168;78;100213;3824;4
2221;4;3616;90;103017;3933;4
2281;3;5176;78;105677;4035;4
2341;3;5160;78;108524;4141;4
2401;3;5160;78;111406;4250;4
2461;3;5152;78;114344;4364;4
2521;3;5160;78;117107;4468;4
2581;4;3608;90;119724;4567;4
2641;3;5168;78;122399;4666;4
2701;2;6704;66;125282;4774;4
2761;3;5136;78;128027;4880;4
2821;3;5160;78;130845;4984;4
2881;3;5168;78;133709;5091;4
2941;3;5168;78;136509;5199;4
3001;3;5160;78;139313;5306;4
3061;3;5168;78;142068;5410;4
3121;3;5160;78;144898;5518;4
3181;3;5152;78;147771;5627;4
3241;3;5120;78;150503;5732;4
3301;4;3592;90;153351;5841;4
3361;3;5144;78;156112;5948;4
3421;4;3632;90;158924;6056;4
3481;2;6712;66;161738;6163;4
3541;4;3624;90;164553;6267;4
3601;2;6712;66;167446;6379;4
3661;3;5152;78;170234;6487;4
3721;4;3640;90;173058;6594;4
3781;3;5152;78;175939;6703;4
3841;3;5184;78;178660;6809;4
3901;4;3616;90;181480;6917;4
3961;3;5152;78;184314;7027;4
4021;2;6704;66;187208;7136;4
4081;4;3608;90;189894;7238;4
4141;4;3624;90;192716;7347;4
4201;4;3616;90;195570;7457;4
4261;3;5160;78;198335;7562;4
4321;2;6744;66;201096;7667;4
4381;4;3616;90;204007;7779;4
4441;4;3632;90;206769;7884;4
