6001	3	3600	75	162993	5042	4	25153	25151	1371	100
6061	4	3616	87	164621	5117	4	25401	25398	1386	101
6121	3	3440	114	166149	5148	4	25649	25646	1398	102
6181	4	3464	126	167832	5176	4	25901	25898	1413	103
6241	4	3472	126	169508	5204	4	26151	26148	1427	104
6301	3	3464	114	171074	5230	4	26405	26402	1439	105
6361	4	3448	126	172665	5256	4	26654	26651	1452	106
6421	3	3408	114	174294	5283	4	26906	26903	1465	107
6481	4	3456	126	176058	5312	4	27160	27157	1481	108
6541	4	3424	126	177635	5338	4	27413	27410	1494	109
6601	4	3608	87	179323	5398	4	27662	27659	1508	110
6661	4	3608	87	180897	5470	4	27913	27910	1522	111
6721	4	3592	87	182593	5548	4	28167	28164	1536	112
6781	4	3472	126	184266	5604	4	28417	28414	1549	113
6841	4	3408	126	185896	5631	4	28664	28661	1563	114
6901	4	3464	126	187463	5657	4	28914	28911	1577	115
6961	4	3440	126	189112	5684	4	29171	29168	1592	116
7021	4	3432	126	190699	5710	4	29424	29421	1605	117
7081	4	3448	126	192298	5736	4	29676	29673	1618	118
7141	4	3408	126	193988	5764	4	29932	29929	1632	119
7201	4	3464	126	195608	5791	4	30179	30176	1645	120
7261	4	3592	87	197240	5847	4	30431	30428	1658	121
7321	4	3408	126	198849	5888	4	30681	30678	1673	122
7381	3	3416	114	200428	5914	4	30929	30926	1685	123
7441	4	3440	126	202113	5942	4	31181	31178	1700	124
7501	4	3416	126	203666	5968	4	31432	31429	1712	125
7561	4	3432	126	205392	5997	4	31683	31680	1727	126
7621	3	3392	114	207021	6024	4	31932	31929	1740	127
7681	4	3592	87	208613	6086	4	32185	32182	1753	128
7741	4	3608	87	210269	6163	4	32436	32433	1767	129
7801	4	3608	87	211947	6241	4	32684	32681	1781	130
7861	4	3576	87	213632	6319	4	32937	32934	1796	131
7921	3	3456	114	215239	6393	4	33188	33185	1809	132
7981	4	3592	87	216936	6437	4	33441	33438	1824	133
8041	3	3440	114	218566	6479	4	33692	33689	1837	134
8101	3	3600	75	220222	6540	4	33945	33942	1852	135
8161	4	3584	87	221798	6612	4	34196	34193	1864	136
8221	4	3600	87	223453	6651	4	34442	34439	1879	137
8281	4	3576	87	225113	6727	4	34695	34692	1893	138
8341	4	3432	126	226699	6754	4	34944	34941	1907	139
8401	3	3432	114	228441	6783	4	35196	35193	1921	140
8461	3	3440	114	230008	6809	4	35448	35445	1934	141
8521	4	3448	126	231719	6837	3	35700	35697	1949	142
8581	4	3408	126	233298	6863	4	35950	35947	1962	143
8641	4	3456	126	234880	6889	4	36200	36197	1976	144
8701	4	3440	126	236513	6916	4	36450	36447	1991	145
8761	4	3456	126	238135	6943	4	36702	36699	2005	146
